anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
0.00747208,0.00491004,0.00318888,0.000622837,0.111621,0.856784,0.0110747,0.00432614
0.0088741,0.00518745,0.0069756,0.000818547,0.0661884,0.879033,0.0281876,0.00473541
0.00510597,0.00235798,0.00527933,0.000212644,0.0901575,0.878858,0.0155809,0.00244735
0.00329667,0.00171234,0.00352486,6.6722e-05,0.0773148,0.903348,0.00948552,0.0012515
0.00402426,0.00179031,0.004505,6.07178e-05,0.0680006,0.908414,0.0120725,0.00113271
0.00402426,0.00179031,0.004505,6.07178e-05,0.0680006,0.908414,0.0120725,0.00113271
0.00402426,0.00179031,0.004505,6.07178e-05,0.0680006,0.908414,0.0120725,0.00113271
0.0183478,0.00660856,0.00512215,0.000795433,0.0401144,0.885596,0.0403967,0.0030189
0.0162274,0.00376631,0.00393452,0.00121993,0.0502202,0.882973,0.036883,0.00477559
0.0092282,0.00336844,0.00203605,0.00136859,0.107252,0.841423,0.0313433,0.00398065
0.00289871,0.00208141,0.000440918,0.000523496,0.288183,0.690481,0.0136918,0.00169967
0.00415761,0.00252177,0.000706388,0.00103101,0.463101,0.505952,0.0204922,0.00203825
0.00627588,0.00244448,0.00100602,0.000576162,0.335573,0.62882,0.0231239,0.00218045
0.0153812,0.00403212,0.00274688,0.000816691,0.242727,0.71093,0.0198618,0.00350502
0.00659138,0.00192865,0.00129078,0.000116547,0.282169,0.664817,0.0422455,0.000841597
0.00341895,0.00068555,0.000847503,0.000226195,0.446839,0.463957,0.0827324,0.00129408
0.00674157,0.00202408,0.00126102,0.000251786,0.0896383,0.849819,0.0486779,0.0015868
0.010019,0.00305046,0.00215319,0.000204857,0.158496,0.784224,0.0399952,0.00185771
0.0123474,0.00491773,0.00295341,0.000274519,0.111981,0.813255,0.0525361,0.0017355
0.0280385,0.00786577,0.00768279,0.000359778,0.0906501,0.79906,0.0638973,0.00244598
0.0587234,0.00798634,0.0133366,0.000866275,0.0312896,0.803876,0.0784204,0.0055015
